discipline,weight_category,w_c,title,result,year_from,year2,year3,year_to
BI,63,63,MSMK,192,2018,2019,2020,2021
BI,68,68,MSMK,210,2018,2019,2020,2021
BI,73,73,MSMK,222,2018,2019,2020,2021
BI,85,85,MSMK,234,2018,2019,2020,2021
BI,999,85+,MSMK,246,2018,2019,2020,2021
LC,63,63,MSMK,59,2018,2019,2020,2021
LC,68,68,MSMK,72,2018,2019,2020,2021
LC,73,73,MSMK,76,2018,2019,2020,2021
LC,85,85,MSMK,82,2018,2019,2020,2021
LC,999,85+,MSMK,88,2018,2019,2020,2021
BI,63,63,MS,126,2018,2019,2020,2021
BI,68,68,MS,146,2018,2019,2020,2021
BI,73,73,MS,162,2018,2019,2020,2021
BI,85,85,MS,178,2018,2019,2020,2021
BI,999,85+,MS,190,2018,2019,2020,2021
LC,63,63,MS,44,2018,2019,2020,2021
LC,68,68,MS,56,2018,2019,2020,2021
LC,73,73,MS,62,2018,2019,2020,2021
LC,85,85,MS,69,2018,2019,2020,2021
LC,999,85+,MS,75,2018,2019,2020,2021
BI,63,63,KMS,75,2018,2019,2020,2021
BI,68,68,KMS,83,2018,2019,2020,2021
BI,73,73,KMS,95,2018,2019,2020,2021
BI,85,85,KMS,117,2018,2019,2020,2021
BI,999,85+,KMS,126,2018,2019,2020,2021
LC,63,63,KMS,35,2018,2019,2020,2021
LC,68,68,KMS,45,2018,2019,2020,2021
LC,73,73,KMS,48,2018,2019,2020,2021
LC,85,85,KMS,55,2018,2019,2020,2021
LC,999,85+,KMS,58,2018,2019,2020,2021
